Id,No,Barcode,Name,PriceList,Category_Id,category_name,Quantity,TotalPrice,Count,type,is_refund,Session_Id,User_Id,SalaCaptinId,BranchId,IsDeleted,TableId,DailyCount,YearCount,Is_Cash,Date,UnitId,ProductUnitName,QuantityFromParentForProductUnit,SoldUnitName,QuantityFromParentForSoldUnit,TotalCost,UnitCost,MenuId,IsDone,DiscountValue,StartSession,YearMonth,NormalizedName,CannedProduct
461bb8e3-fa25-4298-86d3-da3b3290f877,52,52,قهوة تركي,35,a562390f-e36d-4349-aba5-99440975975c,مشروبات ساخنة,1,0,1379,صالة,0,e6d4cae8-7eed-4242-bd66-972673d01467,77ea1854-76b3-4580-a902-5f54582c316a,985df166-19be-49c5-b10a-4b1170532b71,1,0,b1_0V4WSM,1,1376,1,23:03.4,1,قطعة,1,قطعة,1,0,0,1,1,35,07:29.1,2025-06,قهوة تركي,No
daf19ef4-1eb3-49df-8ea1-0189c894eb76,36,36,نسكافية بالحليب,65,a562390f-e36d-4349-aba5-99440975975c,مشروبات ساخنة,1,65,1158,صالة,0,a1c2a96e-272b-4542-a746-de3e6f56e9ef,77ea1854-76b3-4580-a902-5f54582c316a,985df166-19be-49c5-b10a-4b1170532b71,1,0,b1_9FY9Z4,1,1155,1,37:19.0,1,قطعة,1,قطعة,1,0,0,1,1,0,50:57.4,2025-05,نسكافية بالحليب,No
94ab74f4-5224-4c87-8124-e92a15fd14dc,34,34,مياة معدنية صغيرة,10,2dc3d683-b099-4c3c-9df4-81935227e011,مشروبات باردة,2,20,1951,صالة,0,af51f702-77c2-4fd1-ac0f-9967e16cf476,77ea1854-76b3-4580-a902-5f54582c316a,985df166-19be-49c5-b10a-4b1170532b71,1,0,b1_7OZYBC,1,1948,1,51:15.8,1,قطعة,1,قطعة,1,9,4.5,1,1,0,19:41.3,2025-07,مياة معدنية صغيرة,No
6fe13d3e-ea5b-415f-81db-e9090dacb084,54,54,قهوة فرنساوي,45,a562390f-e36d-4349-aba5-99440975975c,مشروبات ساخنة,1,45,816,صالة,0,d32daf11-cf4a-441d-98de-11b83fbd7678,77ea1854-76b3-4580-a902-5f54582c316a,3e5f2cef-0ed9-4fe7-9cec-9dc0a940fcef,1,0,b1_50357Z,1,813,1,09:26.4,1,قطعة,1,قطعة,1,0,0,1,1,0,04:09.9,2025-04,قهوة فرنساوي,No
daf19ef4-1eb3-49df-8ea1-0189c894eb76,36,36,نسكافية بالحليب,65,a562390f-e36d-4349-aba5-99440975975c,مشروبات ساخنة,2,130,1128,صالة,0,fad6595f-9187-4218-92c7-b7e50923abeb,77ea1854-76b3-4580-a902-5f54582c316a,3e5f2cef-0ed9-4fe7-9cec-9dc0a940fcef,1,0,b1_1FYXYW,1,1125,1,50:31.3,1,قطعة,1,قطعة,1,0,0,1,1,0,30:58.9,2025-05,نسكافية بالحليب,No
461bb8e3-fa25-4298-86d3-da3b3290f877,52,52,قهوة تركي,35,a562390f-e36d-4349-aba5-99440975975c,مشروبات ساخنة,2,70,1506,صالة,0,421e4158-cb89-45f0-af48-d21ce59c3816,77ea1854-76b3-4580-a902-5f54582c316a,985df166-19be-49c5-b10a-4b1170532b71,1,0,b1_9DOLHU,1,1503,1,17:27.4,1,قطعة,1,قطعة,1,0,0,1,1,0,09:52.2,2025-06,قهوة تركي,No
2f96ae39-307e-4a81-af61-eb7b37b551a5,15,15,ليمون,60,f3b6a32c-2ce9-4c21-9371-0c3c4a386896,عصائر فريش,2,80,537,صالة,0,98bf5078-beea-4331-9177-b4c4f593d190,77ea1854-76b3-4580-a902-5f54582c316a,3e5f2cef-0ed9-4fe7-9cec-9dc0a940fcef,1,0,b1_50357Z,1,536,1,51:44.8,1,قطعة,1,قطعة,1,0,0,1,1,0,09:31.0,2025-04,ليمون,No
94ab74f4-5224-4c87-8124-e92a15fd14dc,34,34,مياة معدنية صغيرة,10,2dc3d683-b099-4c3c-9df4-81935227e011,مشروبات باردة,1,10,1031,صالة,0,f00c2c8f-9fe4-40d8-9bad-3a69644ee6e3,77ea1854-76b3-4580-a902-5f54582c316a,985df166-19be-49c5-b10a-4b1170532b71,1,0,b1_9FY9Z4,1,1028,1,40:26.8,1,قطعة,1,قطعة,1,4.5,4.5,1,1,0,38:16.6,2025-05,مياة معدنية صغيرة,No
daf19ef4-1eb3-49df-8ea1-0189c894eb76,36,36,نسكافية بالحليب,65,a562390f-e36d-4349-aba5-99440975975c,مشروبات ساخنة,1,65,2032,صالة,0,1475869a-2a31-40eb-8142-fdbab3842c11,77ea1854-76b3-4580-a902-5f54582c316a,985df166-19be-49c5-b10a-4b1170532b71,1,0,b1_50357Z,1,2029,0,26:31.7,1,قطعة,1,قطعة,1,0,0,1,1,0,59:01.8,2025-07,نسكافية بالحليب,No
461bb8e3-fa25-4298-86d3-da3b3290f877,52,52,قهوة تركي,35,a562390f-e36d-4349-aba5-99440975975c,مشروبات ساخنة,1,25,145,صالة,0,134f0a83-7466-44e1-8b0e-b4e13840cd04,77ea1854-76b3-4580-a902-5f54582c316a,3e5f2cef-0ed9-4fe7-9cec-9dc0a940fcef,1,0,b1_1FYXYW,1,144,1,59:13.2,1,قطعة,1,قطعة,1,0,0,1,1,0,26:53.7,2025-03,قهوة تركي,No
